OT_ID,Equipo_ID,Falla_ID,Actividad_ID,Mecanico_Lider_ID,Fecha_Ingreso,Fecha_Salida,Tipo_OT,Estado_OT,Horas_Taller,Horas_Planificadas,Num_Mecanicos,Horas_Hombre,Costo_ManoObra_USD,Costo_Repuestos_USD,Costo_Total_USD,Cumple_Plazo
57,2,,9,13,2023-02-02 00:00:00.000000,2023-02-02 03:15:16.836243,Predictivo,Cerrada,3.25,3.0,2,6.51,78.11,162.45,240.56,True
58,10,,8,3,2023-02-03 00:00:00.000000,2023-02-03 02:12:31.056111,Predictivo,Cerrada,2.21,2.0,2,4.42,75.09,135.05,210.14,True
59,9,,11,5,2023-02-04 00:00:00.000000,2023-02-04 03:46:49.823750,Predictivo,Cerrada,3.78,4.0,2,7.56,128.54,317.21,445.74,True
60,4,26.0,14,24,2023-02-04 16:34:20.134780,2023-02-04 20:31:56.432804,Correctivo,Cerrada,3.96,3.0,1,3.96,68.17,264.73,332.9,False
61,16,,10,4,2023-02-05 00:00:00.000000,2023-02-05 03:00:27.424182,Predictivo,Cerrada,3.01,3.0,1,3.01,132.34,233.69,366.02,True
62,5,,9,23,2023-02-05 00:00:00.000000,2023-02-05 02:56:27.145041,Predictivo,Cerrada,2.94,3.0,1,2.94,97.05,161.77,258.82,True
63,12,,8,12,2023-02-05 00:00:00.000000,2023-02-05 01:59:43.927120,Predictivo,Cerrada,2.0,2.0,1,2.0,29.93,118.98,148.92,True
64,2,27.0,14,8,2023-02-05 09:23:06.223109,2023-02-05 14:39:27.251356,Correctivo,Cerrada,5.27,3.0,4,21.09,417.21,1444.05,1861.26,False
65,20,28.0,13,8,2023-02-05 23:30:20.364583,2023-02-06 16:12:39.798197,Correctivo,Cerrada,16.71,10.0,3,50.12,878.61,2135.17,3013.78,False
66,12,29.0,14,14,2023-02-07 03:40:50.984133,2023-02-07 08:41:18.526877,Correctivo,Cerrada,5.01,3.0,1,5.01,147.18,1278.68,1425.86,False
67,2,30.0,14,19,2023-02-07 21:34:28.773352,2023-02-08 00:37:47.788071,Correctivo,Cerrada,3.06,3.0,2,6.11,140.03,822.54,962.57,True
68,20,,11,17,2023-02-08 00:00:00.000000,2023-02-08 04:26:53.182118,Predictivo,Cancelada,4.45,4.0,1,4.45,151.24,274.91,426.15,True
69,7,,11,1,2023-02-09 00:00:00.000000,2023-02-09 03:50:09.509576,Predictivo,Cerrada,3.84,4.0,1,3.84,53.7,314.38,368.08,True
70,15,,10,9,2023-02-09 00:00:00.000000,2023-02-09 03:32:03.913806,Predictivo,Cerrada,3.53,3.0,1,3.53,88.36,211.56,299.92,False
71,3,,10,10,2023-02-09 00:00:00.000000,2023-02-09 03:35:25.872238,Predictivo,Cerrada,3.59,3.0,1,3.59,107.72,184.49,292.21,False
72,7,32.0,13,6,2023-02-09 05:13:58.781791,2023-02-09 16:05:23.661383,Correctivo,Cerrada,10.86,10.0,2,21.71,825.4,1554.81,2380.21,True
73,11,33.0,13,2,2023-02-09 05:52:43.234068,2023-02-09 16:12:33.536632,Correctivo,Cerrada,10.33,10.0,3,30.99,482.02,1643.08,2125.1,True
74,10,34.0,14,15,2023-02-09 08:20:24.854448,2023-02-09 13:43:05.020695,Correctivo,Cerrada,5.38,3.0,3,16.13,463.51,629.52,1093.02,False
75,6,35.0,14,20,2023-02-10 01:06:32.145759,2023-02-10 04:29:17.450397,Correctivo,Cerrada,3.38,3.0,3,10.14,265.86,960.32,1226.18,True
76,17,36.0,14,15,2023-02-10 16:13:02.633273,2023-02-10 19:35:53.550343,Correctivo,Cerrada,3.38,3.0,3,10.14,290.35,1852.67,2143.02,True
77,21,37.0,14,10,2023-02-10 23:45:40.561348,2023-02-11 02:49:01.597959,Correctivo,Cerrada,3.06,3.0,1,3.06,87.72,613.67,701.39,True
78,21,38.0,14,19,2023-02-11 10:55:15.589015,2023-02-11 15:07:43.261096,Correctivo,Cerrada,4.21,3.0,2,8.42,226.86,205.57,432.43,False
79,6,40.0,14,13,2023-02-13 03:17:38.408359,2023-02-13 06:22:00.081395,Correctivo,Cerrada,3.07,3.0,2,6.15,74.4,404.9,479.31,True
80,4,41.0,14,15,2023-02-13 11:33:15.043183,2023-02-13 14:38:27.052769,Correctivo,Cerrada,3.09,3.0,4,12.35,352.77,132.54,485.31,True
81,17,,7,12,2023-02-14 00:00:00.000000,2023-02-14 05:31:36.642489,Preventivo,Cerrada,5.53,5.0,2,11.05,165.81,775.3,941.11,False
82,19,,4,3,2023-02-15 00:00:00.000000,2023-02-15 02:15:39.469129,Preventivo,Cerrada,2.26,2.0,2,4.52,76.87,209.89,286.76,False
83,2,,1,7,2023-02-15 00:00:00.000000,2023-02-15 03:56:04.660680,Preventivo,Cerrada,3.93,4.0,3,11.8,389.53,768.39,1157.91,True
84,8,,5,22,2023-02-16 00:00:00.000000,2023-02-16 04:18:32.054816,Preventivo,Cerrada,4.31,4.0,1,4.31,81.87,645.98,727.85,True
85,21,,17,22,2023-02-16 00:00:00.000000,2023-02-18 03:30:05.322464,Mayor,Cerrada,51.5,40.0,4,206.01,3914.11,29746.82,33660.93,False
86,12,43.0,14,16,2023-02-16 19:43:36.847216,2023-02-17 00:01:13.141938,Correctivo,Cerrada,4.29,3.0,1,4.29,100.85,123.0,223.85,False
87,11,,6,2,2023-02-17 00:00:00.000000,2023-02-17 06:46:53.511895,Preventivo,Cerrada,6.78,6.0,1,6.78,108.5,1234.36,1342.86,False
88,6,44.0,14,25,2023-02-17 16:35:26.910056,2023-02-17 21:23:36.033914,Correctivo,Cancelada,4.8,3.0,3,14.41,629.56,1228.78,1858.34,False
89,18,,4,25,2023-02-18 00:00:00.000000,2023-02-18 02:03:07.787041,Preventivo,Cerrada,2.05,2.0,1,2.05,96.45,207.72,304.17,True
90,13,45.0,12,12,2023-02-18 04:39:02.071808,2023-02-18 15:36:09.082267,Correctivo,Cerrada,10.95,8.0,1,10.95,150.4,366.08,516.48,False
91,5,,1,15,2023-02-19 00:00:00.000000,2023-02-19 04:12:55.170376,Preventivo,Cerrada,4.22,4.0,2,8.43,244.49,955.9,1200.39,True
92,7,,1,2,2023-02-19 00:00:00.000000,2023-02-19 03:52:12.680788,Preventivo,Cerrada,3.87,4.0,1,3.87,61.92,1000.79,1062.72,True
93,9,,2,1,2023-02-19 00:00:00.000000,2023-02-19 02:52:42.145478,Preventivo,Cerrada,2.88,3.0,3,8.64,120.89,594.65,715.55,True
94,21,46.0,13,4,2023-02-19 10:48:30.680832,2023-02-20 01:23:33.533705,Correctivo,Cancelada,14.58,10.0,3,43.75,2076.59,7190.26,9266.85,False
95,7,47.0,14,1,2023-02-19 12:48:16.473190,2023-02-19 16:13:50.632893,Correctivo,Cerrada,3.43,3.0,3,10.28,139.67,3299.21,3438.87,True
96,12,48.0,14,11,2023-02-19 14:26:44.942093,2023-02-19 18:24:56.016396,Correctivo,Cerrada,3.97,3.0,3,11.91,260.08,235.6,495.68,False
97,4,,6,1,2023-02-20 00:00:00.000000,2023-02-20 05:49:53.237401,Preventivo,Cerrada,5.83,6.0,1,5.83,81.64,1049.87,1131.51,True
98,16,,6,22,2023-02-21 00:00:00.000000,2023-02-21 06:51:58.135429,Preventivo,Cerrada,6.87,6.0,2,13.73,260.91,1055.8,1316.72,False
99,21,,6,1,2023-02-21 00:00:00.000000,2023-02-21 06:17:01.334118,Preventivo,Cerrada,6.28,6.0,3,18.85,263.92,884.58,1148.49,True
100,13,,4,8,2023-02-21 00:00:00.000000,2023-02-21 01:53:04.756341,Preventivo,Cerrada,1.88,2.0,3,5.65,107.43,204.45,311.88,True
101,6,50.0,14,16,2023-02-21 11:41:39.285965,2023-02-21 16:54:55.634507,Correctivo,Cerrada,5.22,3.0,2,10.44,213.63,1549.61,1763.24,False
102,15,,3,2,2023-02-22 00:00:00.000000,2023-02-22 04:31:09.176260,Preventivo,Cerrada,4.52,5.0,3,13.56,216.92,304.73,521.65,True
103,12,,5,8,2023-02-22 00:00:00.000000,2023-02-22 04:30:40.447221,Preventivo,Cerrada,4.51,4.0,2,9.02,171.43,662.76,834.19,False
104,9,52.0,14,7,2023-02-22 01:18:01.080871,2023-02-22 05:13:09.794135,Correctivo,Cerrada,3.92,3.0,1,3.92,128.29,446.45,574.74,False
105,21,51.0,12,3,2023-02-22 07:11:01.709716,2023-02-22 14:20:52.021563,Correctivo,Cerrada,7.16,8.0,1,7.16,113.18,4650.83,4764.02,True
106,11,54.0,13,9,2023-02-22 09:17:46.359301,2023-02-23 03:05:31.867541,Correctivo,Cerrada,17.8,10.0,3,53.39,1339.72,197.67,1537.39,False
107,1,53.0,13,11,2023-02-22 14:45:03.073947,2023-02-23 00:52:32.374019,Correctivo,Cerrada,10.12,10.0,2,20.25,456.95,22266.71,22723.66,True
108,2,55.0,14,6,2023-02-22 23:54:42.989330,2023-02-23 03:23:05.543320,Correctivo,Cerrada,3.47,3.0,1,3.47,140.72,785.53,926.24,False
109,20,,3,18,2023-02-23 00:00:00.000000,2023-02-23 05:32:08.234919,Preventivo,Cerrada,5.54,5.0,3,16.61,381.96,406.83,788.79,False
110,14,,2,11,2023-02-23 00:00:00.000000,2023-02-23 03:14:43.729305,Preventivo,Cerrada,3.25,3.0,1,3.25,68.16,610.29,678.45,True
111,19,57.0,14,7,2023-02-23 08:29:27.878330,2023-02-23 12:38:01.233802,Correctivo,Cerrada,4.14,3.0,3,12.43,400.77,57.35,458.12,False
112,8,56.0,13,19,2023-02-23 09:46:43.111162,2023-02-23 21:43:46.096523,Correctivo,Cerrada,11.95,10.0,2,23.9,598.24,7140.93,7739.17,False
113,18,58.0,12,25,2023-02-23 09:56:25.720004,2023-02-23 15:32:58.096961,Correctivo,Cerrada,5.61,8.0,2,11.22,504.31,1639.33,2143.64,True
114,10,,1,3,2023-02-24 00:00:00.000000,2023-02-24 03:36:28.635222,Preventivo,Cerrada,3.61,4.0,2,7.22,122.67,795.86,918.53,True
115,1,,5,25,2023-02-24 00:00:00.000000,2023-02-24 04:35:24.420577,Preventivo,Cerrada,4.59,4.0,3,13.77,647.21,556.78,1203.98,False
116,3,,6,4,2023-02-24 00:00:00.000000,2023-02-24 05:32:26.269015,Preventivo,Cancelada,5.54,6.0,3,16.62,731.36,1078.22,1809.59,True
117,6,,2,5,2023-02-24 00:00:00.000000,2023-02-24 02:53:07.068925,Preventivo,Cerrada,2.89,3.0,3,8.66,147.15,533.8,680.95,True
118,11,60.0,14,7,2023-02-24 09:44:55.347606,2023-02-24 14:47:30.074970,Correctivo,Cerrada,5.04,3.0,4,20.17,718.26,99.71,817.97,False
119,21,61.0,14,5,2023-02-24 13:39:17.221542,2023-02-24 16:25:50.137644,Correctivo,Cerrada,2.78,3.0,1,2.78,51.57,1019.79,1071.36,True
120,4,62.0,14,23,2023-02-25 23:00:22.034791,2023-02-26 02:08:27.011640,Correctivo,Cerrada,3.13,3.0,2,6.27,207.15,2777.16,2984.31,True
121,16,,17,24,2023-02-26 00:00:00.000000,2023-02-27 12:27:54.316273,Mayor,Cerrada,36.47,40.0,4,145.86,2625.49,29080.73,31706.21,True
122,13,63.0,14,25,2023-02-26 14:43:05.444308,2023-02-26 17:12:54.113252,Correctivo,Cerrada,2.5,3.0,2,4.99,242.82,222.26,465.08,True
123,18,65.0,14,24,2023-02-27 04:25:07.459571,2023-02-27 08:25:46.645813,Correctivo,Cerrada,4.01,3.0,3,12.03,206.99,2843.46,3050.45,False
124,10,64.0,14,9,2023-02-27 07:18:18.147741,2023-02-27 11:19:17.305775,Correctivo,Cerrada,4.02,3.0,2,8.03,197.41,48.69,246.1,False
125,14,66.0,14,21,2023-02-27 14:11:00.673167,2023-02-27 19:04:26.694810,Correctivo,Cerrada,4.89,3.0,2,9.78,200.13,69.58,269.71,False
126,18,67.0,14,4,2023-02-28 20:12:41.462080,2023-02-28 23:55:00.348532,Correctivo,Cerrada,3.71,3.0,3,11.12,507.54,612.63,1120.17,False
127,11,68.0,13,18,2023-03-03 01:07:32.636890,2023-03-03 13:06:01.040383,Correctivo,Cerrada,11.97,10.0,2,23.95,543.8,1043.69,1587.49,False
128,15,69.0,14,21,2023-03-03 05:17:28.456121,2023-03-03 09:42:44.846572,Correctivo,Cerrada,4.42,3.0,3,13.26,248.22,12611.97,12860.19,False
129,1,70.0,14,3,2023-03-04 04:25:35.151510,2023-03-04 08:33:23.466500,Correctivo,Cerrada,4.13,3.0,4,16.52,267.96,555.8,823.76,False
130,4,71.0,14,2,2023-03-04 08:23:35.067848,2023-03-04 12:34:12.761276,Correctivo,Cerrada,4.18,3.0,1,4.18,72.44,565.35,637.79,False
131,21,72.0,14,6,2023-03-05 00:40:03.494037,2023-03-05 03:22:42.553396,Correctivo,Cerrada,2.71,3.0,3,8.13,349.95,35.18,385.13,True
132,3,73.0,13,12,2023-03-05 11:37:16.686506,2023-03-05 22:09:02.880012,Correctivo,Cerrada,10.53,10.0,3,31.59,445.95,1060.2,1506.15,True
133,6,74.0,14,21,2023-03-07 09:28:42.894139,2023-03-07 13:38:23.374223,Correctivo,Cerrada,4.16,3.0,3,12.48,251.91,206.06,457.97,False
134,21,75.0,14,3,2023-03-07 18:30:43.339335,2023-03-07 23:54:31.735463,Correctivo,Cerrada,5.4,3.0,1,5.4,88.09,261.08,349.16,False
135,8,76.0,14,14,2023-03-08 03:38:16.938719,2023-03-08 07:57:22.429184,Correctivo,Cerrada,4.32,3.0,1,4.32,141.81,263.56,405.36,False
136,9,80.0,14,16,2023-03-10 11:42:03.404946,2023-03-10 14:40:28.176140,Correctivo,Cerrada,2.97,3.0,3,8.92,182.59,3096.43,3279.02,True
137,7,81.0,14,24,2023-03-10 16:20:25.054790,2023-03-10 20:34:11.648467,Correctivo,Cerrada,4.23,3.0,3,12.69,218.17,4556.97,4775.13,False
138,2,83.0,14,22,2023-03-10 22:24:33.830029,2023-03-11 02:50:47.602100,Correctivo,Cerrada,4.44,3.0,4,17.75,362.22,372.06,734.28,False
139,16,82.0,14,21,2023-03-11 12:16:33.459976,2023-03-11 15:22:55.420509,Correctivo,Cerrada,3.11,3.0,3,9.32,170.33,105.03,275.36,True
140,7,84.0,12,23,2023-03-11 21:54:21.519643,2023-03-12 05:09:59.268452,Correctivo,Cerrada,7.26,8.0,2,14.52,445.85,22703.8,23149.65,True
141,9,85.0,14,20,2023-03-12 05:16:05.267399,2023-03-12 07:50:42.364968,Correctivo,Cerrada,2.58,3.0,2,5.15,117.71,138.37,256.08,True
142,12,86.0,14,14,2023-03-12 09:05:17.045726,2023-03-12 13:49:37.173032,Correctivo,Cerrada,4.74,3.0,2,9.48,332.94,291.29,624.23,False
143,9,87.0,14,24,2023-03-13 15:20:05.955472,2023-03-13 19:08:54.429959,Correctivo,Cerrada,3.81,3.0,3,11.44,187.04,95.76,282.8,False
144,21,,17,9,2023-03-14 00:00:00.000000,2023-03-15 17:56:14.360227,Mayor,Cerrada,41.94,40.0,4,167.75,4193.73,25282.06,29475.79,True
145,13,88.0,14,9,2023-03-15 01:14:40.404801,2023-03-15 04:55:00.780931,Correctivo,Cerrada,3.67,3.0,4,14.69,376.63,123.54,500.17,False
146,3,90.0,14,8,2023-03-16 08:54:52.152798,2023-03-16 11:29:41.191161,Correctivo,Cerrada,2.58,3.0,1,2.58,45.07,1576.93,1622.0,True
147,14,89.0,14,6,2023-03-16 14:40:05.487492,2023-03-16 19:08:10.405064,Correctivo,Cerrada,4.47,3.0,2,8.94,384.44,218.64,603.07,False
148,2,92.0,14,3,2023-03-16 19:44:51.199553,2023-03-17 00:06:26.935960,Correctivo,Cerrada,4.36,3.0,2,8.72,137.37,128.66,266.03,False
149,6,93.0,14,17,2023-03-17 00:19:26.262404,2023-03-17 03:30:15.005154,Correctivo,Cerrada,3.18,3.0,2,6.36,222.33,1450.7,1673.02,True
150,20,91.0,14,2,2023-03-17 02:09:58.402597,2023-03-17 04:55:19.802847,Correctivo,Cerrada,2.76,3.0,2,5.51,93.54,119.43,212.97,True
151,11,94.0,14,5,2023-03-17 22:36:15.789870,2023-03-18 02:10:27.658157,Correctivo,Cancelada,3.57,3.0,2,7.14,124.93,6401.98,6526.91,False
152,19,95.0,13,14,2023-03-18 08:34:47.177953,2023-03-18 23:40:40.222934,Correctivo,Cerrada,15.1,10.0,2,30.2,1013.31,11946.66,12959.97,False
153,11,,6,7,2023-03-19 00:00:00.000000,2023-03-19 06:02:31.591868,Preventivo,Cerrada,6.04,6.0,1,6.04,199.39,1166.42,1365.81,True
154,17,96.0,14,21,2023-03-19 01:57:57.264442,2023-03-19 04:56:37.416011,Correctivo,Cerrada,2.98,3.0,3,8.93,153.65,725.43,879.07,True
155,10,97.0,13,16,2023-03-19 03:49:04.996431,2023-03-19 15:07:25.256480,Correctivo,Cerrada,11.31,10.0,2,22.61,465.29,40447.55,40912.84,True
156,12,98.0,14,21,2023-03-19 09:41:04.741200,2023-03-19 12:52:49.465920,Correctivo,Cerrada,3.2,3.0,2,6.39,129.14,1068.82,1197.97,True
157,10,99.0,14,20,2023-03-19 14:13:52.961819,2023-03-19 17:17:36.948407,Correctivo,Cerrada,3.06,3.0,4,12.25,307.05,221.38,528.44,True
158,1,101.0,14,6,2023-03-19 23:37:04.611739,2023-03-20 03:54:36.486618,Correctivo,Cerrada,4.29,3.0,2,8.58,335.83,701.17,1037.0,False
159,2,,5,14,2023-03-20 00:00:00.000000,2023-03-20 03:59:28.327606,Preventivo,Cerrada,3.99,4.0,2,7.98,255.44,654.28,909.72,True
160,15,,3,22,2023-03-20 00:00:00.000000,2023-03-20 05:20:45.960950,Preventivo,Cerrada,5.35,5.0,1,5.35,101.58,330.35,431.93,True
161,4,,4,12,2023-03-20 00:00:00.000000,2023-03-20 02:01:54.253670,Preventivo,Cerrada,2.03,2.0,1,2.03,30.48,191.66,222.14,True
162,19,100.0,14,18,2023-03-20 07:14:38.821519,2023-03-20 12:31:56.359676,Correctivo,Cerrada,5.29,3.0,2,10.58,229.29,555.87,785.16,False
163,10,103.0,14,14,2023-03-20 11:00:33.450843,2023-03-20 16:05:22.846693,Correctivo,Cerrada,5.08,3.0,3,15.24,488.6,350.27,838.87,False
164,7,104.0,14,22,2023-03-20 14:01:55.861310,2023-03-20 16:36:32.884096,Correctivo,Cerrada,2.58,3.0,2,5.15,106.56,323.23,429.79,True
