Falla_ID,Equipo_ID,Componente_ID,CausaRaiz_ID,Turno_ID,Fecha,Fecha_Hora_Falla,Modo_Falla,Severidad,Horas_Parada_Equipo,Detectada_Por
127,19,15,10,1,2023-03-29,2023-03-29 08:24:00,Fuga hidráulica,Alta,14.46,Operador
128,16,9,11,1,2023-03-29,2023-03-29 11:43:00,Falla eléctrica,Baja,1.43,Monitoreo remoto
129,15,30,11,1,2023-03-29,2023-03-29 12:24:00,Fractura de diente,Media,5.71,Monitoreo remoto
130,4,10,11,1,2023-03-29,2023-03-29 14:21:00,Sobrecarga,Baja,2.71,Inspección
131,8,20,10,1,2023-03-30,2023-03-30 13:28:00,Desgaste excesivo,Media,5.51,Monitoreo remoto
132,19,16,11,2,2023-03-30,2023-03-30 23:45:00,Vibraciones excesivas,Alta,13.11,Operador
133,10,16,11,1,2023-03-31,2023-03-31 11:35:00,Vibraciones excesivas,Baja,2.95,Operador
134,19,36,12,2,2023-04-01,2023-04-01 03:55:00,Falla de A/C,Media,7.07,Operador
135,20,3,8,1,2023-04-01,2023-04-01 07:53:00,Vibraciones excesivas,Media,7.98,Inspección
136,11,13,8,2,2023-04-01,2023-04-01 22:30:00,Recalentamiento aceite,Media,5.69,Monitoreo remoto
137,1,19,9,2,2023-04-02,2023-04-02 01:26:00,Desgaste de engranajes,Baja,2.83,Monitoreo remoto
138,20,34,3,2,2023-04-02,2023-04-02 03:32:00,Fractura de diente,Alta,17.62,Inspección
139,15,10,16,1,2023-04-02,2023-04-02 17:18:00,Cortocircuito,Media,7.29,Operador
140,16,25,14,2,2023-04-02,2023-04-02 20:57:00,Fatiga en orugas,Alta,11.62,Inspección
141,15,12,13,1,2023-04-03,2023-04-03 15:27:00,Recalentamiento aceite,Alta,17.37,Operador
142,5,9,11,2,2023-04-03,2023-04-03 21:45:00,Pérdida de señal,Media,4.8,Monitoreo remoto
143,4,22,9,2,2023-04-04,2023-04-04 23:58:00,Fuga de fluido,Media,5.48,Inspección
144,16,3,1,1,2023-04-05,2023-04-05 18:22:00,Pérdida de potencia,Baja,2.68,Operador
145,7,16,12,2,2023-04-06,2023-04-06 04:18:00,Vibraciones excesivas,Baja,2.07,Monitoreo remoto
146,8,12,13,1,2023-04-07,2023-04-07 08:17:00,Fuga hidráulica,Alta,17.74,Operador
147,19,8,7,1,2023-04-07,2023-04-07 14:25:00,Falla de arranque,Media,6.93,Operador
148,8,10,14,2,2023-04-07,2023-04-07 21:23:00,Pérdida de señal,Baja,2.11,Inspección
149,21,13,7,2,2023-04-08,2023-04-08 00:12:00,Pérdida de presión,Alta,16.49,Inspección
150,17,14,16,2,2023-04-08,2023-04-08 02:03:00,Vibraciones excesivas,Alta,14.21,Inspección
151,12,29,13,1,2023-04-08,2023-04-08 09:31:00,Rotura,Alta,12.11,Operador
152,17,34,4,2,2023-04-08,2023-04-08 23:49:00,Desgaste de broca,Alta,14.37,Operador
153,1,21,8,2,2023-04-09,2023-04-09 06:38:00,Fuga de fluido,Baja,2.75,Inspección
154,5,19,10,2,2023-04-10,2023-04-10 05:24:00,Patinamiento,Alta,19.7,Operador
155,2,20,15,2,2023-04-11,2023-04-11 05:01:00,Vibración al frenar,Media,6.63,Operador
156,6,25,16,2,2023-04-11,2023-04-11 05:43:00,Fatiga en orugas,Alta,18.88,Inspección
157,21,31,9,1,2023-04-11,2023-04-11 09:21:00,Desgaste cuchara,Alta,13.26,Inspección
158,20,33,11,2,2023-04-12,2023-04-12 02:14:00,Desgaste de broca,Alta,18.38,Inspección
159,8,22,1,1,2023-04-12,2023-04-12 13:42:00,Fuga de fluido,Baja,2.82,Inspección
160,7,7,2,2,2023-04-12,2023-04-12 19:43:00,Pérdida de señal,Alta,23.23,Inspección
161,21,3,12,2,2023-04-12,2023-04-12 23:24:00,Pérdida de potencia,Baja,2.79,Operador
162,20,8,6,2,2023-04-14,2023-04-14 04:32:00,Sobrecarga,Baja,2.16,Inspección
163,6,20,2,2,2023-04-15,2023-04-15 00:20:00,Desgaste excesivo,Media,7.45,Operador
164,12,3,1,2,2023-04-15,2023-04-15 00:43:00,Vibraciones excesivas,Baja,2.3,Inspección
165,13,35,7,1,2023-04-15,2023-04-15 08:35:00,Falla de controles,Media,6.44,Monitoreo remoto
166,12,16,8,2,2023-04-16,2023-04-16 00:37:00,Vibraciones excesivas,Media,5.39,Operador
167,15,29,14,1,2023-04-18,2023-04-18 07:25:00,Desgaste de broca,Crítica,40.81,Operador
168,10,14,12,2,2023-04-18,2023-04-18 19:11:00,Recalentamiento aceite,Baja,1.49,Operador
169,5,23,5,2,2023-04-18,2023-04-18 22:47:00,Desbalance,Alta,14.78,Operador
170,3,14,4,2,2023-04-19,2023-04-19 01:24:00,Recalentamiento aceite,Baja,2.84,Operador
171,5,24,6,2,2023-04-22,2023-04-22 01:19:00,Desbalance,Alta,20.82,Operador
172,9,16,4,2,2023-04-22,2023-04-22 02:52:00,Vibraciones excesivas,Media,4.87,Operador
173,10,10,15,2,2023-04-22,2023-04-22 04:20:00,Pérdida de señal,Baja,2.95,Operador
174,16,8,13,1,2023-04-22,2023-04-22 10:57:00,Cortocircuito,Alta,20.64,Inspección
175,12,10,15,1,2023-04-22,2023-04-22 18:17:00,Sobrecarga,Alta,15.06,Operador
176,5,22,8,1,2023-04-25,2023-04-25 07:09:00,Vibración al frenar,Media,6.71,Monitoreo remoto
177,19,12,8,2,2023-04-26,2023-04-26 00:35:00,Recalentamiento aceite,Crítica,59.53,Inspección
178,14,16,12,1,2023-04-26,2023-04-26 12:02:00,Vibraciones excesivas,Baja,2.67,Inspección
179,10,3,14,1,2023-04-26,2023-04-26 13:56:00,Vibraciones excesivas,Baja,1.9,Inspección
180,17,15,6,1,2023-04-26,2023-04-26 14:36:00,Rotura de cilindro,Media,5.21,Operador
181,5,8,14,2,2023-04-26,2023-04-26 21:24:00,Pérdida de señal,Alta,15.46,Operador
182,13,4,16,1,2023-04-27,2023-04-27 16:12:00,Fuga de aceite,Media,6.72,Operador
183,21,7,6,2,2023-04-28,2023-04-28 05:28:00,Pérdida de señal,Media,8.32,Inspección
184,2,16,6,1,2023-04-28,2023-04-28 07:09:00,Pérdida de presión,Media,8.13,Operador
185,14,3,6,2,2023-04-29,2023-04-29 03:02:00,Vibraciones excesivas,Baja,2.68,Inspección
186,14,15,11,1,2023-04-29,2023-04-29 14:00:00,Fuga hidráulica,Baja,1.78,Inspección
187,13,8,11,2,2023-04-29,2023-04-29 22:31:00,Pérdida de señal,Media,7.48,Operador
188,12,36,13,2,2023-05-01,2023-05-01 04:37:00,Falla de A/C,Baja,2.8,Inspección
189,4,13,7,1,2023-05-01,2023-05-01 17:29:00,Recalentamiento aceite,Media,5.23,Inspección
190,1,16,2,1,2023-05-03,2023-05-03 09:13:00,Rotura de cilindro,Baja,2.9,Operador
191,19,7,12,1,2023-05-04,2023-05-04 11:58:00,Pérdida de señal,Baja,2.39,Inspección
192,1,6,15,2,2023-05-05,2023-05-05 01:53:00,Recalentamiento,Baja,2.9,Inspección
193,9,23,9,2,2023-05-05,2023-05-05 21:19:00,Desbalance,Crítica,48.03,Inspección
194,16,5,16,2,2023-05-07,2023-05-07 00:50:00,Recalentamiento,Baja,2.73,Inspección
195,12,3,11,2,2023-05-07,2023-05-07 03:06:00,Fuga de aceite,Baja,2.36,Inspección
196,1,7,6,2,2023-05-07,2023-05-07 04:25:00,Falla de arranque,Alta,19.71,Inspección
197,14,30,4,2,2023-05-07,2023-05-07 05:07:00,Fatiga de material,Media,4.81,Operador
198,5,6,6,1,2023-05-07,2023-05-07 10:50:00,Pérdida de potencia,Media,7.17,Inspección
199,7,9,7,1,2023-05-08,2023-05-08 10:11:00,Cortocircuito,Media,7.16,Operador
200,20,31,13,1,2023-05-08,2023-05-08 18:41:00,Fatiga de material,Baja,2.34,Operador
201,6,8,1,1,2023-05-09,2023-05-09 07:01:00,Falla eléctrica,Media,7.62,Inspección
202,1,8,12,1,2023-05-09,2023-05-09 09:48:00,Falla eléctrica,Media,7.92,Operador
203,11,27,7,1,2023-05-09,2023-05-09 10:44:00,Fisura,Alta,17.21,Operador
204,12,30,4,1,2023-05-09,2023-05-09 14:59:00,Desgaste de broca,Media,6.03,Monitoreo remoto
205,5,16,14,1,2023-05-09,2023-05-09 15:36:00,Rotura de cilindro,Media,6.94,Operador
206,4,2,13,2,2023-05-09,2023-05-09 19:36:00,Fuga de aceite,Crítica,33.63,Inspección
207,17,16,6,2,2023-05-09,2023-05-09 20:30:00,Fuga hidráulica,Alta,18.03,Inspección
208,7,24,10,2,2023-05-10,2023-05-10 04:26:00,Pinchadura,Media,4.52,Inspección
209,11,9,16,1,2023-05-10,2023-05-10 11:37:00,Pérdida de señal,Media,8.58,Operador
210,17,35,9,2,2023-05-10,2023-05-10 20:04:00,Falla de controles,Media,7.75,Inspección
211,9,20,2,2,2023-05-10,2023-05-10 21:02:00,Vibración al frenar,Baja,2.33,Inspección
212,10,30,16,2,2023-05-11,2023-05-11 04:48:00,Desgaste cuchara,Baja,2.29,Operador
213,8,14,7,1,2023-05-11,2023-05-11 10:49:00,Recalentamiento aceite,Media,5.78,Monitoreo remoto
214,21,5,16,2,2023-05-11,2023-05-11 23:19:00,Fuga de aceite,Baja,2.34,Inspección
215,10,9,10,1,2023-05-12,2023-05-12 10:20:00,Cortocircuito,Media,5.93,Inspección
216,3,8,11,2,2023-05-12,2023-05-12 20:19:00,Falla de arranque,Alta,22.76,Operador
217,8,4,13,2,2023-05-13,2023-05-13 21:59:00,Fuga de aceite,Baja,2.19,Inspección
218,1,13,9,2,2023-05-13,2023-05-13 22:00:00,Pérdida de presión,Media,4.99,Operador
219,13,14,1,1,2023-05-14,2023-05-14 11:32:00,Rotura de cilindro,Media,5.02,Inspección
220,17,13,7,1,2023-05-14,2023-05-14 12:41:00,Pérdida de presión,Baja,2.6,Monitoreo remoto
221,13,30,7,2,2023-05-14,2023-05-14 23:58:00,Fractura de diente,Baja,2.89,Inspección
222,21,10,15,1,2023-05-15,2023-05-15 10:41:00,Falla de arranque,Media,4.99,Inspección
223,8,16,4,1,2023-05-15,2023-05-15 17:13:00,Recalentamiento aceite,Baja,1.65,Operador
224,10,9,7,1,2023-05-15,2023-05-15 17:37:00,Falla de arranque,Alta,23.16,Operador
225,9,9,11,2,2023-05-16,2023-05-16 20:32:00,Falla eléctrica,Baja,2.81,Operador
226,5,20,7,1,2023-05-17,2023-05-17 15:34:00,Vibración al frenar,Alta,17.59,Monitoreo remoto
227,7,15,4,1,2023-05-17,2023-05-17 18:02:00,Pérdida de presión,Alta,17.73,Monitoreo remoto
228,16,31,14,2,2023-05-18,2023-05-18 00:31:00,Desgaste cuchara,Baja,1.49,Operador
229,2,6,1,1,2023-05-19,2023-05-19 07:14:00,Fuga de aceite,Media,5.03,Operador
230,1,9,11,2,2023-05-19,2023-05-19 23:59:00,Falla de arranque,Baja,2.39,Operador
231,19,4,10,2,2023-05-20,2023-05-20 00:51:00,Ruido anormal,Media,8.12,Operador
232,8,17,15,2,2023-05-20,2023-05-20 06:30:00,Fallo transmisión,Crítica,60.9,Operador
233,7,20,8,1,2023-05-20,2023-05-20 15:09:00,Falla de frenos,Media,6.94,Inspección
234,2,14,16,1,2023-05-20,2023-05-20 16:29:00,Fuga hidráulica,Media,7.49,Inspección
235,6,20,6,1,2023-05-21,2023-05-21 08:13:00,Vibración al frenar,Alta,16.11,Inspección
236,11,30,10,1,2023-05-21,2023-05-21 09:35:00,Fractura de diente,Baja,2.51,Monitoreo remoto
237,2,13,7,1,2023-05-21,2023-05-21 14:35:00,Recalentamiento aceite,Alta,11.58,Operador
238,18,33,11,2,2023-05-21,2023-05-21 22:23:00,Fractura de diente,Media,7.07,Inspección
239,14,13,15,1,2023-05-22,2023-05-22 10:43:00,Pérdida de presión,Baja,2.48,Operador
240,7,19,2,2,2023-05-23,2023-05-23 00:50:00,Fallo transmisión,Alta,13.89,Operador
241,1,7,9,2,2023-05-23,2023-05-23 05:02:00,Pérdida de señal,Baja,1.67,Operador
242,20,25,4,2,2023-05-23,2023-05-23 05:19:00,Fatiga estructural,Alta,17.27,Inspección
243,7,21,1,2,2023-05-23,2023-05-23 06:52:00,Falla de frenos,Baja,2.79,Monitoreo remoto
244,20,4,6,1,2023-05-23,2023-05-23 17:56:00,Pérdida de potencia,Baja,2.23,Monitoreo remoto
245,1,20,12,2,2023-05-23,2023-05-23 22:28:00,Desgaste excesivo,Alta,23.46,Operador
246,15,14,4,1,2023-05-24,2023-05-24 08:18:00,Recalentamiento aceite,Media,6.98,Operador
247,9,12,16,1,2023-05-24,2023-05-24 14:02:00,Vibraciones excesivas,Alta,11.57,Monitoreo remoto
248,20,36,5,1,2023-05-25,2023-05-25 15:24:00,Falla de A/C,Media,4.58,Inspección
249,21,4,12,2,2023-05-25,2023-05-25 21:08:00,Pérdida de potencia,Media,8.42,Inspección
250,19,25,12,2,2023-05-25,2023-05-25 21:59:00,Deformación,Alta,16.52,Operador
251,4,16,1,1,2023-05-26,2023-05-26 07:10:00,Fuga hidráulica,Media,5.37,Operador
252,5,12,12,2,2023-05-26,2023-05-26 22:00:00,Recalentamiento aceite,Alta,23.22,Inspección
253,12,15,16,2,2023-05-27,2023-05-27 00:04:00,Fuga hidráulica,Baja,2.68,Inspección
254,15,16,11,2,2023-05-28,2023-05-28 03:48:00,Pérdida de presión,Alta,23.83,Monitoreo remoto
255,21,33,10,1,2023-05-28,2023-05-28 14:08:00,Desgaste de broca,Media,4.66,Monitoreo remoto
256,17,31,8,1,2023-05-28,2023-05-28 17:54:00,Desgaste cuchara,Media,5.42,Inspección
257,14,15,6,1,2023-05-28,2023-05-28 18:09:00,Fuga hidráulica,Media,4.56,Monitoreo remoto
258,21,16,1,2,2023-05-30,2023-05-30 02:14:00,Rotura de cilindro,Media,7.94,Monitoreo remoto
259,9,7,9,1,2023-05-30,2023-05-30 09:16:00,Falla eléctrica,Baja,2.03,Operador
260,8,24,11,1,2023-05-30,2023-05-30 12:07:00,Pinchadura,Crítica,69.74,Inspección
261,12,12,11,1,2023-05-30,2023-05-30 16:51:00,Pérdida de presión,Baja,2.68,Monitoreo remoto
262,10,9,10,2,2023-05-30,2023-05-30 21:13:00,Pérdida de señal,Baja,2.71,Operador
263,20,16,9,2,2023-05-31,2023-05-31 00:11:00,Vibraciones excesivas,Baja,2.07,Inspección
264,12,8,8,2,2023-05-31,2023-05-31 05:55:00,Falla eléctrica,Media,6.08,Operador
265,10,30,9,2,2023-06-01,2023-06-01 20:27:00,Desgaste de broca,Media,5.77,Operador
